ts,co_m,eth_m,voc_m,no2,c2h50h_gm,voc_gm,co_gm
1764060896813,12.944,14.014,4.575,0.728,0.67,0.172,0.052
1764060897600,13.934,15.432,4.973,0.728,0.67,0.172,0.051
1764060897905,14.435,16.161,5.176,0.728,0.67,0.172,0.052
1764060898160,13.934,15.432,4.973,0.729,0.672,0.173,0.051
1764060898287,12.944,14.014,4.575,0.729,0.672,0.173,0.051
1764060898815,13.437,14.716,4.773,0.729,0.672,0.173,0.051
1764060899087,13.437,14.716,4.773,0.729,0.672,0.174,0.051
1764060899585,12.944,14.014,4.575,0.73,0.67,0.173,0.052
1764060900226,13.934,15.432,4.973,0.733,0.67,0.174,0.053
1764060900706,14.435,16.161,5.176,0.737,0.669,0.177,0.056
1764060901033,13.437,14.716,4.773,0.74,0.67,0.179,0.057
1764060901211,13.437,14.716,4.773,0.742,0.67,0.18,0.059
1764060901243,13.437,14.716,4.773,0.744,0.67,0.182,0.06
1764060901647,13.437,14.716,4.773,0.746,0.669,0.183,0.061
1764060901905,13.437,14.716,4.773,0.748,0.67,0.185,0.063
1764060902641,13.437,14.716,4.773,0.75,0.67,0.187,0.065
1764060902912,14.435,16.161,5.176,0.754,0.67,0.191,0.067
1764060903312,13.934,15.432,4.973,0.756,0.67,0.193,0.069
1764060903783,13.934,15.432,4.973,0.758,0.67,0.197,0.071
1764060903913,13.934,15.432,4.973,0.761,0.67,0.199,0.073
1764060904779,13.437,14.716,4.773,0.761,0.669,0.201,0.074
1764060905009,14.435,16.161,5.176,0.763,0.669,0.204,0.075
1764060905486,14.435,16.161,5.176,0.768,0.67,0.207,0.077
1764060906405,14.435,16.161,5.176,0.768,0.672,0.211,0.078
1764060907137,15.958,18.426,5.799,0.771,0.672,0.216,0.081
1764060907789,14.435,16.161,5.176,0.772,0.672,0.218,0.082
1764060908649,15.447,17.658,5.589,0.774,0.672,0.223,0.085
1764060908830,15.447,17.658,5.589,0.775,0.672,0.227,0.086
1764060908992,14.939,16.903,5.381,0.776,0.672,0.229,0.087
1764060909695,14.435,16.161,5.176,0.776,0.672,0.23,0.088
1764060910156,14.939,16.903,5.381,0.777,0.672,0.232,0.088
1764060910772,15.447,17.658,5.589,0.777,0.672,0.234,0.088
1764060911285,14.939,16.903,5.381,0.777,0.672,0.235,0.088
1764060911559,15.958,18.426,5.799,0.778,0.672,0.237,0.089
1764060912514,14.939,16.903,5.381,0.778,0.672,0.238,0.089
1764060912804,16.473,19.207,6.012,0.779,0.672,0.241,0.09
1764060913287,15.447,17.658,5.589,0.778,0.672,0.242,0.09
1764060913658,14.939,16.903,5.381,0.78,0.672,0.242,0.089
1764060913915,14.435,16.161,5.176,0.778,0.672,0.243,0.089
1764060914297,14.939,16.903,5.381,0.778,0.672,0.244,0.09
1764060914835,15.447,17.658,5.589,0.778,0.673,0.244,0.089
1764060915049,14.435,16.161,5.176,0.779,0.672,0.245,0.089
1764060915504,15.958,18.426,5.799,0.779,0.672,0.246,0.089
1764060915692,15.447,17.658,5.589,0.78,0.673,0.247,0.089
1764060916735,14.939,16.903,5.381,0.78,0.672,0.247,0.089
1764060916988,16.473,19.207,6.012,0.779,0.673,0.249,0.089
1764060917357,15.958,18.426,5.799,0.78,0.673,0.249,0.089
1764060917863,14.939,16.903,5.381,0.78,0.673,0.25,0.089
1764060918134,15.958,18.426,5.799,0.778,0.673,0.25,0.088
1764060918350,15.447,17.658,5.589,0.78,0.673,0.25,0.088
1764060918809,14.939,16.903,5.381,0.779,0.672,0.251,0.088
1764060919264,15.447,17.658,5.589,0.778,0.673,0.251,0.089
1764060919444,15.958,18.426,5.799,0.779,0.673,0.252,0.089
1764060919629,15.958,18.426,5.799,0.779,0.673,0.253,0.088
1764060920020,15.447,17.658,5.589,0.779,0.674,0.253,0.089
1764060920291,15.958,18.426,5.799,0.778,0.673,0.253,0.088
1764060920449,15.958,18.426,5.799,0.779,0.673,0.254,0.089
1764060920947,15.447,17.658,5.589,0.778,0.672,0.254,0.089
1764060921331,15.958,18.426,5.799,0.778,0.673,0.254,0.088
1764060921517,15.447,17.658,5.589,0.779,0.673,0.254,0.088
1764060921804,15.958,18.426,5.799,0.78,0.673,0.256,0.089
1764060922274,15.447,17.658,5.589,0.78,0.674,0.256,0.089
1764060922818,18.038,21.628,6.663,0.778,0.673,0.256,0.088
1764060923203,15.958,18.426,5.799,0.778,0.673,0.256,0.089
1764060923761,16.473,19.207,6.012,0.778,0.673,0.256,0.088
1764060924035,16.991,20.002,6.227,0.78,0.673,0.256,0.088
1764060924707,15.958,18.426,5.799,0.78,0.674,0.257,0.088
1764060924845,15.958,18.426,5.799,0.778,0.673,0.257,0.087
1764060924845,16.473,19.207,6.012,0.778,0.673,0.258,0.088
1764060925735,15.447,17.658,5.589,0.778,0.673,0.258,0.088
1764060925928,16.473,19.207,6.012,0.779,0.673,0.258,0.087
1764060926193,15.958,18.426,5.799,0.778,0.674,0.258,0.087
1764060926388,17.513,20.809,6.444,0.778,0.673,0.259,0.086
1764060927051,15.447,17.658,5.589,0.778,0.674,0.259,0.086
1764060927323,15.958,18.426,5.799,0.778,0.673,0.258,0.086
1764060927895,15.958,18.426,5.799,0.778,0.673,0.26,0.087
1764060928647,16.991,20.002,6.227,0.779,0.673,0.26,0.086
1764060928867,16.991,20.002,6.227,0.778,0.673,0.26,0.086
1764060929629,15.958,18.426,5.799,0.779,0.673,0.261,0.086
1764060929775,16.991,20.002,6.227,0.777,0.673,0.261,0.086
1764060930153,16.473,19.207,6.012,0.778,0.673,0.261,0.087
1764060930515,16.473,19.207,6.012,0.778,0.674,0.261,0.086
1764060930905,15.958,18.426,5.799,0.779,0.674,0.262,0.086
1764060931379,16.473,19.207,6.012,0.779,0.673,0.262,0.086
1764060931668,16.991,20.002,6.227,0.778,0.673,0.262,0.085
1764060932008,15.958,18.426,5.799,0.778,0.673,0.262,0.086
1764060932974,16.473,19.207,6.012,0.779,0.673,0.262,0.086
1764060933262,18.038,21.628,6.663,0.778,0.673,0.263,0.086
1764060933481,15.958,18.426,5.799,0.778,0.673,0.264,0.086
1764060934292,15.958,18.426,5.799,0.778,0.673,0.264,0.086
1764060934950,16.473,19.207,6.012,0.779,0.673,0.264,0.086
1764060935791,18.038,21.628,6.663,0.779,0.674,0.265,0.085
1764060936133,16.991,20.002,6.227,0.779,0.674,0.265,0.084
1764060936340,17.513,20.809,6.444,0.778,0.673,0.265,0.085
1764060937011,16.473,19.207,6.012,0.779,0.673,0.265,0.085
1764060937367,16.473,19.207,6.012,0.78,0.674,0.266,0.085
1764060937646,17.513,20.809,6.444,0.778,0.674,0.266,0.084
1764060938004,16.991,20.002,6.227,0.778,0.674,0.266,0.085
1764060938445,15.958,18.426,5.799,0.778,0.674,0.266,0.084
1764060938788,16.991,20.002,6.227,0.779,0.674,0.266,0.084
1764060939036,16.473,19.207,6.012,0.778,0.674,0.266,0.084
1764060939505,16.473,19.207,6.012,0.778,0.673,0.266,0.084
1764060939868,16.991,20.002,6.227,0.777,0.674,0.266,0.084
1764060940446,17.513,20.809,6.444,0.778,0.673,0.267,0.084
1764060940960,16.473,19.207,6.012,0.778,0.673,0.267,0.084
1764060941505,17.513,20.809,6.444,0.778,0.673,0.267,0.083
1764060942155,17.513,20.809,6.444,0.777,0.673,0.267,0.083
1764060942654,16.991,20.002,6.227,0.777,0.674,0.268,0.084
1764060943130,18.038,21.628,6.663,0.777,0.674,0.268,0.084
1764060943275,16.991,20.002,6.227,0.778,0.674,0.268,0.083
1764060943543,16.473,19.207,6.012,0.778,0.674,0.268,0.083
1764060944075,16.991,20.002,6.227,0.779,0.674,0.268,0.084
1764060944512,16.473,19.207,6.012,0.779,0.674,0.268,0.084
1764060944904,16.991,20.002,6.227,0.778,0.674,0.268,0.083
1764060945282,17.513,20.809,6.444,0.778,0.674,0.269,0.084
1764060945841,17.513,20.809,6.444,0.779,0.674,0.268,0.084
1764060946327,16.473,19.207,6.012,0.778,0.674,0.269,0.083
1764060946680,16.991,20.002,6.227,0.778,0.673,0.268,0.083
1764060948279,16.991,20.002,6.227,0.778,0.674,0.269,0.084
1764060949130,20.173,25.034,7.564,0.779,0.674,0.27,0.083
1764060950268,18.567,22.461,6.885,0.778,0.674,0.271,0.083
1764060950394,16.991,20.002,6.227,0.778,0.674,0.27,0.083
1764060951097,18.567,22.461,6.885,0.779,0.674,0.27,0.083
1764060951375,16.991,20.002,6.227,0.778,0.674,0.271,0.083
1764060951763,17.513,20.809,6.444,0.778,0.675,0.27,0.082
1764060952308,19.099,23.306,7.109,0.778,0.674,0.271,0.083
1764060952570,16.991,20.002,6.227,0.779,0.675,0.27,0.082
1764060952765,18.038,21.628,6.663,0.778,0.676,0.271,0.082
1764060953431,16.473,19.207,6.012,0.778,0.674,0.27,0.082
1764060954094,17.513,20.809,6.444,0.778,0.674,0.271,0.082
1764060954454,17.513,20.809,6.444,0.778,0.674,0.27,0.083
1764060954675,16.991,20.002,6.227,0.778,0.674,0.271,0.082
1764060955142,16.991,20.002,6.227,0.777,0.675,0.271,0.082
1764060955372,17.513,20.809,6.444,0.778,0.675,0.271,0.083
1764060955952,16.473,19.207,6.012,0.778,0.674,0.271,0.082
1764060956236,17.513,20.809,6.444,0.779,0.675,0.272,0.082
1764060956898,16.991,20.002,6.227,0.778,0.675,0.272,0.082
1764060957374,17.513,20.809,6.444,0.778,0.675,0.272,0.083
1764060957952,18.038,21.628,6.663,0.778,0.675,0.272,0.083
1764060958206,17.513,20.809,6.444,0.778,0.675,0.272,0.083
1764060958603,17.513,20.809,6.444,0.778,0.674,0.272,0.082
1764060958854,17.513,20.809,6.444,0.778,0.674,0.272,0.082
1764060959434,16.473,19.207,6.012,0.778,0.675,0.272,0.082
1764060959595,16.991,20.002,6.227,0.778,0.675,0.273,0.082
1764060959776,17.513,20.809,6.444,0.778,0.674,0.273,0.082
1764060960566,16.991,20.002,6.227,0.778,0.674,0.272,0.082
1764060960735,18.038,21.628,6.663,0.778,0.674,0.273,0.082
1764060961012,16.991,20.002,6.227,0.778,0.674,0.273,0.082
1764060961304,16.991,20.002,6.227,0.779,0.675,0.273,0.082
1764060961492,16.991,20.002,6.227,0.778,0.675,0.274,0.083
1764060961916,18.567,22.461,6.885,0.778,0.676,0.274,0.083
1764060962043,16.473,19.207,6.012,0.778,0.675,0.274,0.083
1764060962050,16.991,20.002,6.227,0.779,0.675,0.274,0.083
1764060962739,16.991,20.002,6.227,0.778,0.675,0.274,0.082
1764060963269,16.991,20.002,6.227,0.778,0.674,0.274,0.082
1764060963830,18.038,21.628,6.663,0.779,0.675,0.274,0.082
1764060964157,17.513,20.809,6.444,0.779,0.675,0.274,0.082
1764060964861,17.513,20.809,6.444,0.778,0.674,0.275,0.082
1764060965457,18.038,21.628,6.663,0.78,0.675,0.275,0.082
1764060965727,17.513,20.809,6.444,0.778,0.675,0.275,0.082
1764060966219,18.038,21.628,6.663,0.78,0.675,0.276,0.083
1764060966761,16.991,20.002,6.227,0.779,0.675,0.276,0.082
1764060967218,18.038,21.628,6.663,0.78,0.676,0.276,0.083
1764060967537,18.038,21.628,6.663,0.779,0.674,0.276,0.083
1764060967917,17.513,20.809,6.444,0.78,0.676,0.276,0.083
1764060968849,16.991,20.002,6.227,0.779,0.675,0.276,0.082
1764060969097,18.567,22.461,6.885,0.779,0.675,0.276,0.082
1764060969326,17.513,20.809,6.444,0.78,0.676,0.276,0.082
1764060969678,17.513,20.809,6.444,0.779,0.675,0.276,0.082
1764060969949,18.038,21.628,6.663,0.78,0.676,0.277,0.082
1764060970339,16.991,20.002,6.227,0.78,0.676,0.277,0.082
1764060970487,16.991,20.002,6.227,0.779,0.676,0.277,0.082
1764060970692,17.513,20.809,6.444,0.779,0.674,0.276,0.082
1764060971096,16.991,20.002,6.227,0.78,0.675,0.277,0.082
1764060971460,16.991,20.002,6.227,0.78,0.676,0.278,0.082
1764060971922,17.513,20.809,6.444,0.779,0.675,0.277,0.082
1764060972297,17.513,20.809,6.444,0.78,0.676,0.277,0.082
1764060973362,18.567,22.461,6.885,0.78,0.674,0.277,0.082
1764060973714,18.567,22.461,6.885,0.78,0.676,0.278,0.083
1764060973905,18.038,21.628,6.663,0.78,0.675,0.278,0.083
1764060974401,17.513,20.809,6.444,0.781,0.676,0.279,0.083
