ts,co_m,eth_m,voc_m,no2,c2h50h_gm,voc_gm,co_gm
1764058582648,46.236,74.06,19.363,0.915,0.961,0.816,0.127
1764058590197,52.377,87.18,22.303,0.916,0.961,0.82,0.131
1764058590449,44.902,71.28,18.732,0.916,0.961,0.82,0.13
1764058590943,45.568,72.664,19.046,0.917,0.961,0.82,0.13
1764058591190,46.236,74.06,19.363,0.917,0.96,0.82,0.131
1764058591695,46.236,74.06,19.363,0.917,0.961,0.82,0.13
1764058592118,46.236,74.06,19.363,0.918,0.961,0.82,0.132
1764058592415,46.236,74.06,19.363,0.918,0.961,0.82,0.132
1764058592831,45.568,72.664,19.046,0.918,0.961,0.82,0.133
1764058593078,46.236,74.06,19.363,0.918,0.96,0.821,0.134
1764058593578,46.236,74.06,19.363,0.919,0.961,0.82,0.136
1764058593836,46.236,74.06,19.363,0.919,0.961,0.821,0.136
1764058594103,46.906,75.468,19.682,0.921,0.96,0.822,0.138
1764058594236,45.568,72.664,19.046,0.921,0.961,0.822,0.138
1764058594794,46.236,74.06,19.363,0.921,0.961,0.823,0.138
1764058594972,45.568,72.664,19.046,0.921,0.96,0.823,0.138
1764058595133,45.568,72.664,19.046,0.922,0.961,0.825,0.138
1764058595463,46.236,74.06,19.363,0.922,0.961,0.823,0.139
1764058595558,46.236,74.06,19.363,0.922,0.961,0.823,0.14
1764058595958,45.568,72.664,19.046,0.924,0.961,0.824,0.14
1764058596227,46.236,74.06,19.363,0.922,0.961,0.824,0.14
1764058596412,46.236,74.06,19.363,0.923,0.961,0.823,0.14
1764058597209,46.236,74.06,19.363,0.923,0.96,0.826,0.141
1764058597521,48.257,78.322,20.325,0.924,0.96,0.826,0.142
1764058597949,46.906,75.468,19.682,0.924,0.961,0.826,0.142
1764058598427,47.58,76.889,20.002,0.923,0.961,0.826,0.142
1764058598695,47.58,76.889,20.002,0.925,0.96,0.828,0.143
1764058598865,46.236,74.06,19.363,0.924,0.961,0.828,0.142
1764058599414,46.236,74.06,19.363,0.925,0.961,0.828,0.143
1764058599661,47.58,76.889,20.002,0.924,0.961,0.828,0.144
1764058599841,46.906,75.468,19.682,0.925,0.96,0.828,0.143
1764058600704,46.906,75.468,19.682,0.924,0.96,0.828,0.143
1764058600975,47.58,76.889,20.002,0.924,0.96,0.829,0.144
1764058601237,48.257,78.322,20.325,0.924,0.961,0.828,0.144
1764058601614,47.58,76.889,20.002,0.925,0.96,0.828,0.145
1764058601728,46.906,75.468,19.682,0.925,0.96,0.832,0.144
1764058602216,47.58,76.889,20.002,0.925,0.96,0.829,0.144
1764058602541,47.58,76.889,20.002,0.925,0.96,0.832,0.145
1764058602753,47.58,76.889,20.002,0.925,0.96,0.832,0.144
1764058603036,46.906,75.468,19.682,0.925,0.96,0.832,0.144
1764058603145,47.58,76.889,20.002,0.925,0.961,0.832,0.144
1764058603797,47.58,76.889,20.002,0.925,0.96,0.832,0.144
1764058603959,48.936,79.767,20.65,0.925,0.96,0.832,0.145
1764058604344,46.906,75.468,19.682,0.925,0.961,0.829,0.145
1764058604373,47.58,76.889,20.002,0.925,0.96,0.832,0.145
1764058604749,47.58,76.889,20.002,0.925,0.96,0.832,0.145
1764058605119,47.58,76.889,20.002,0.925,0.96,0.832,0.145
1764058605231,48.257,78.322,20.325,0.925,0.96,0.832,0.145
1764058605588,47.58,76.889,20.002,0.925,0.96,0.832,0.145
1764058605999,47.58,76.889,20.002,0.925,0.96,0.832,0.145
1764058606163,48.257,78.322,20.325,0.925,0.961,0.832,0.145
1764058606911,50.304,82.695,21.305,0.925,0.961,0.832,0.145
1764058607362,49.619,81.225,20.976,0.925,0.96,0.832,0.146
1764058607644,48.936,79.767,20.65,0.925,0.96,0.832,0.146
1764058607934,48.936,79.767,20.65,0.925,0.96,0.832,0.146
1764058608221,48.257,78.322,20.325,0.925,0.96,0.833,0.146
1764058608518,48.257,78.322,20.325,0.925,0.96,0.832,0.146
1764058608713,48.257,78.322,20.325,0.925,0.96,0.832,0.146
1764058608875,47.58,76.889,20.002,0.925,0.96,0.832,0.146
1764058609463,48.257,78.322,20.325,0.925,0.96,0.832,0.145
1764058609748,47.58,76.889,20.002,0.925,0.96,0.832,0.146
1764058610354,49.619,81.225,20.976,0.925,0.96,0.833,0.146
1764058610749,48.936,79.767,20.65,0.925,0.96,0.834,0.146
1764058610932,48.936,79.767,20.65,0.925,0.96,0.833,0.146
1764058611088,48.257,78.322,20.325,0.925,0.96,0.833,0.146
1764058611497,48.257,78.322,20.325,0.925,0.96,0.833,0.147
1764058611762,48.936,79.767,20.65,0.925,0.96,0.834,0.147
1764058611872,48.257,78.322,20.325,0.925,0.96,0.834,0.146
1764058612167,48.257,78.322,20.325,0.925,0.96,0.833,0.147
1764058612561,48.936,79.767,20.65,0.925,0.961,0.833,0.147
1764058612673,47.58,76.889,20.002,0.925,0.96,0.834,0.147
1764058613087,48.257,78.322,20.325,0.926,0.96,0.834,0.147
1764058613222,48.936,79.767,20.65,0.926,0.96,0.834,0.147
1764058613481,48.257,78.322,20.325,0.925,0.96,0.833,0.146
1764058613916,48.936,79.767,20.65,0.925,0.96,0.834,0.147
1764058613970,48.936,79.767,20.65,0.925,0.96,0.834,0.147
1764058614240,48.936,79.767,20.65,0.925,0.96,0.833,0.147
1764058614705,48.257,78.322,20.325,0.925,0.96,0.834,0.147
1764058614976,48.936,79.767,20.65,0.925,0.96,0.834,0.147
1764058615267,48.936,79.767,20.65,0.926,0.96,0.833,0.147
1764058615365,48.936,79.767,20.65,0.926,0.961,0.834,0.148
1764058615823,48.936,79.767,20.65,0.925,0.96,0.834,0.147
1764058616031,48.936,79.767,20.65,0.925,0.96,0.836,0.147
1764058616279,48.936,79.767,20.65,0.925,0.96,0.836,0.146
1764058616692,48.936,79.767,20.65,0.926,0.96,0.836,0.147
1764058617047,48.936,79.767,20.65,0.925,0.96,0.834,0.147
1764058617324,49.619,81.225,20.976,0.925,0.96,0.836,0.148
1764058617431,49.619,81.225,20.976,0.926,0.96,0.836,0.148
1764058617992,48.936,79.767,20.65,0.926,0.96,0.834,0.148
1764058618275,49.619,81.225,20.976,0.926,0.96,0.836,0.148
1764058618720,49.619,81.225,20.976,0.925,0.96,0.836,0.148
1764058618913,49.619,81.225,20.976,0.926,0.96,0.834,0.148
1764058619075,50.304,82.695,21.305,0.926,0.96,0.836,0.148
1764058619495,48.936,79.767,20.65,0.925,0.96,0.836,0.147
1764058619649,49.619,81.225,20.976,0.926,0.961,0.836,0.148
1764058620230,49.619,81.225,20.976,0.925,0.96,0.836,0.148
1764058620494,50.304,82.695,21.305,0.926,0.96,0.836,0.148
1764058620722,48.936,79.767,20.65,0.928,0.96,0.836,0.148
1764058620966,48.936,79.767,20.65,0.926,0.96,0.836,0.149
1764058621247,48.936,79.767,20.65,0.926,0.96,0.837,0.148
1764058621383,48.936,79.767,20.65,0.926,0.96,0.836,0.148
1764058621556,48.936,79.767,20.65,0.928,0.96,0.836,0.147
1764058621899,49.619,81.225,20.976,0.925,0.96,0.836,0.148
1764058622390,48.936,79.767,20.65,0.925,0.96,0.836,0.148
1764058622695,49.619,81.225,20.976,0.926,0.96,0.836,0.149
1764058622871,50.304,82.695,21.305,0.926,0.96,0.836,0.149
1764058623354,49.619,81.225,20.976,0.926,0.96,0.836,0.149
1764058623633,49.619,81.225,20.976,0.928,0.96,0.837,0.148
1764058624010,50.304,82.695,21.305,0.928,0.96,0.836,0.148
1764058624485,50.304,82.695,21.305,0.928,0.96,0.836,0.149
1764058624726,50.304,82.695,21.305,0.928,0.96,0.836,0.149
1764058624771,49.619,81.225,20.976,0.926,0.961,0.836,0.148
1764058625689,49.619,81.225,20.976,0.928,0.96,0.836,0.148
1764058625831,50.304,82.695,21.305,0.928,0.96,0.836,0.149
1764058626344,50.992,84.178,21.636,0.928,0.96,0.836,0.148
1764058626623,50.304,82.695,21.305,0.925,0.96,0.836,0.148
1764058627141,49.619,81.225,20.976,0.928,0.961,0.838,0.149
1764058627645,50.992,84.178,21.636,0.928,0.96,0.837,0.148
1764058627835,50.304,82.695,21.305,0.928,0.96,0.837,0.149
1764058627877,50.992,84.178,21.636,0.928,0.96,0.838,0.149
1764058628128,49.619,81.225,20.976,0.928,0.96,0.838,0.149
1764058628408,49.619,81.225,20.976,0.928,0.96,0.838,0.149
1764058628969,49.619,81.225,20.976,0.928,0.96,0.838,0.149
1764058629267,49.619,81.225,20.976,0.926,0.96,0.837,0.148
1764058629449,49.619,81.225,20.976,0.928,0.96,0.838,0.148
1764058629726,50.304,82.695,21.305,0.928,0.96,0.838,0.149
1764058630022,49.619,81.225,20.976,0.928,0.96,0.838,0.148
1764058630380,49.619,81.225,20.976,0.928,0.96,0.838,0.149
1764058630844,50.304,82.695,21.305,0.926,0.96,0.838,0.148
1764058631001,50.304,82.695,21.305,0.926,0.96,0.838,0.149
1764058631339,50.304,82.695,21.305,0.926,0.96,0.838,0.149
1764058631684,49.619,81.225,20.976,0.928,0.96,0.838,0.148
1764058631981,49.619,81.225,20.976,0.928,0.96,0.839,0.148
1764058632438,50.304,82.695,21.305,0.928,0.96,0.839,0.149
1764058632828,51.683,85.672,21.968,0.928,0.96,0.839,0.148
1764058632970,50.992,84.178,21.636,0.928,0.96,0.838,0.149
1764058633657,49.619,81.225,20.976,0.928,0.96,0.839,0.148
1764058634200,51.683,85.672,21.968,0.928,0.96,0.839,0.15
1764058634321,50.304,82.695,21.305,0.926,0.96,0.839,0.148
1764058634424,50.304,82.695,21.305,0.928,0.96,0.839,0.149
1764058634903,50.304,82.695,21.305,0.928,0.96,0.839,0.149
1764058635057,50.304,82.695,21.305,0.928,0.96,0.839,0.149
1764058635463,50.304,82.695,21.305,0.928,0.96,0.839,0.147
1764058635926,50.992,84.178,21.636,0.928,0.96,0.839,0.148
1764058636591,50.304,82.695,21.305,0.926,0.96,0.84,0.148
1764058636591,51.683,85.672,21.968,0.926,0.96,0.84,0.148
1764058637239,50.304,82.695,21.305,0.928,0.96,0.84,0.148
1764058637618,51.683,85.672,21.968,0.926,0.96,0.839,0.147
1764058638287,50.992,84.178,21.636,0.928,0.96,0.839,0.146
1764058638721,52.377,87.18,22.303,0.926,0.96,0.839,0.147
1764058638929,50.992,84.178,21.636,0.926,0.96,0.839,0.146
1764058639424,50.304,82.695,21.305,0.926,0.96,0.839,0.147
1764058639588,51.683,85.672,21.968,0.928,0.96,0.84,0.146
1764058640088,50.304,82.695,21.305,0.926,0.96,0.839,0.146
1764058640347,50.304,82.695,21.305,0.926,0.96,0.839,0.146
1764058640532,50.304,82.695,21.305,0.926,0.96,0.839,0.145
1764058641010,50.304,82.695,21.305,0.925,0.96,0.839,0.145
1764058641318,51.683,85.672,21.968,0.926,0.96,0.839,0.144
1764058641406,51.683,85.672,21.968,0.925,0.96,0.839,0.144
1764058642058,50.304,82.695,21.305,0.925,0.96,0.838,0.142
1764058642515,50.304,82.695,21.305,0.925,0.96,0.839,0.142
1764058642798,51.683,85.672,21.968,0.924,0.96,0.838,0.14
1764058642966,50.304,82.695,21.305,0.924,0.96,0.838,0.14
1764058643125,50.304,82.695,21.305,0.922,0.96,0.838,0.139
1764058643373,50.304,82.695,21.305,0.922,0.96,0.837,0.138
1764058644030,52.377,87.18,22.303,0.922,0.96,0.837,0.139
1764058644295,50.304,82.695,21.305,0.921,0.96,0.836,0.138
1764058644677,48.936,79.767,20.65,0.921,0.96,0.837,0.137
1764058645296,50.304,82.695,21.305,0.92,0.96,0.836,0.137
1764058645594,50.992,84.178,21.636,0.919,0.96,0.836,0.137
1764058645980,50.304,82.695,21.305,0.918,0.96,0.836,0.137
1764058646078,50.304,82.695,21.305,0.919,0.96,0.834,0.137
1764058646352,49.619,81.225,20.976,0.919,0.96,0.836,0.137
1764058646637,49.619,81.225,20.976,0.919,0.96,0.834,0.137
1764058646750,49.619,81.225,20.976,0.919,0.957,0.834,0.137
1764058647197,49.619,81.225,20.976,0.919,0.96,0.834,0.136
1764058647197,49.619,81.225,20.976,0.919,0.96,0.834,0.136
1764058647771,49.619,81.225,20.976,0.918,0.96,0.834,0.136
1764058648066,49.619,81.225,20.976,0.919,0.96,0.834,0.135
1764058648313,49.619,81.225,20.976,0.919,0.96,0.833,0.134
1764058648604,50.304,82.695,21.305,0.918,0.96,0.833,0.134
1764058648723,49.619,81.225,20.976,0.917,0.96,0.832,0.132
1764058649178,48.936,79.767,20.65,0.917,0.96,0.832,0.131
1764058649272,50.304,82.695,21.305,0.917,0.96,0.832,0.132
1764058649561,48.936,79.767,20.65,0.917,0.96,0.832,0.131
1764058650040,48.936,79.767,20.65,0.916,0.96,0.832,0.13
1764058650206,49.619,81.225,20.976,0.915,0.96,0.829,0.13
1764058650558,48.936,79.767,20.65,0.914,0.96,0.829,0.13
1764058650874,48.936,79.767,20.65,0.914,0.957,0.829,0.13
1764058650999,48.936,79.767,20.65,0.913,0.96,0.829,0.129
1764058651313,48.936,79.767,20.65,0.913,0.96,0.828,0.128
1764058651500,48.936,79.767,20.65,0.913,0.96,0.828,0.129
1764058651799,48.936,79.767,20.65,0.912,0.96,0.828,0.129
1764058651923,48.936,79.767,20.65,0.913,0.96,0.828,0.129
1764058652268,48.257,78.322,20.325,0.912,0.96,0.826,0.128
1764058652620,48.936,79.767,20.65,0.912,0.96,0.828,0.128
1764058652751,48.936,79.767,20.65,0.912,0.96,0.826,0.127
1764058652937,49.619,81.225,20.976,0.91,0.958,0.825,0.127
1764058653373,48.257,78.322,20.325,0.91,0.96,0.826,0.128
1764058653502,48.257,78.322,20.325,0.912,0.958,0.826,0.126
1764058653765,48.257,78.322,20.325,0.91,0.96,0.826,0.125
1764058654140,48.257,78.322,20.325,0.91,0.957,0.825,0.125
1764058654242,48.936,79.767,20.65,0.909,0.957,0.823,0.124
1764058654705,48.257,78.322,20.325,0.909,0.957,0.823,0.124
1764058654711,48.257,78.322,20.325,0.91,0.957,0.823,0.124
1764058655365,48.257,78.322,20.325,0.909,0.96,0.822,0.123
1764058655453,49.619,81.225,20.976,0.909,0.957,0.822,0.123
1764058655851,48.257,78.322,20.325,0.909,0.957,0.822,0.123
1764058656288,48.257,78.322,20.325,0.908,0.957,0.822,0.123
1764058656475,48.257,78.322,20.325,0.907,0.957,0.822,0.123
1764058656884,48.257,78.322,20.325,0.906,0.956,0.821,0.124
1764058657609,48.936,79.767,20.65,0.908,0.96,0.822,0.123
1764058658346,48.936,79.767,20.65,0.907,0.957,0.82,0.123
1764058658536,48.257,78.322,20.325,0.906,0.957,0.818,0.122
1764058659007,48.936,79.767,20.65,0.905,0.957,0.818,0.122
1764058659497,48.257,78.322,20.325,0.905,0.957,0.818,0.123
1764058659754,48.936,79.767,20.65,0.905,0.956,0.818,0.123
1764058660159,48.257,78.322,20.325,0.905,0.96,0.817,0.123
1764058660237,48.257,78.322,20.325,0.905,0.957,0.817,0.122
1764058660602,46.906,75.468,19.682,0.905,0.957,0.816,0.122
1764058660644,47.58,76.889,20.002,0.903,0.957,0.817,0.122
1764058661006,47.58,76.889,20.002,0.905,0.957,0.816,0.121
1764058661518,47.58,76.889,20.002,0.905,0.957,0.816,0.122
1764058661898,47.58,76.889,20.002,0.904,0.957,0.815,0.122
1764058662133,46.906,75.468,19.682,0.904,0.956,0.815,0.122
1764058662381,47.58,76.889,20.002,0.904,0.957,0.815,0.122
1764058662759,46.906,75.468,19.682,0.904,0.957,0.815,0.122
1764058663135,46.906,75.468,19.682,0.903,0.956,0.814,0.123
1764058663497,48.257,78.322,20.325,0.904,0.957,0.815,0.124
1764058663538,46.236,74.06,19.363,0.905,0.956,0.814,0.123
1764058664071,46.906,75.468,19.682,0.905,0.956,0.814,0.123
1764058664427,46.906,75.468,19.682,0.903,0.956,0.814,0.123
1764058664723,47.58,76.889,20.002,0.903,0.956,0.814,0.123
1764058664940,46.236,74.06,19.363,0.904,0.956,0.814,0.123
1764058665191,46.236,74.06,19.363,0.903,0.956,0.814,0.123
1764058665741,46.236,74.06,19.363,0.904,0.956,0.814,0.122
1764058666459,46.236,74.06,19.363,0.903,0.957,0.813,0.122
1764058666921,46.906,75.468,19.682,0.904,0.956,0.813,0.121
1764058667538,47.58,76.889,20.002,0.904,0.956,0.812,0.12
1764058667758,47.58,76.889,20.002,0.903,0.954,0.81,0.12
1764058668298,45.568,72.664,19.046,0.903,0.956,0.812,0.12
1764058669336,46.236,74.06,19.363,0.902,0.957,0.81,0.12
1764058669552,48.257,78.322,20.325,0.901,0.955,0.809,0.119
1764058669632,45.568,72.664,19.046,0.901,0.955,0.807,0.119
1764058670263,45.568,72.664,19.046,0.9,0.957,0.809,0.118
1764058670466,45.568,72.664,19.046,0.9,0.956,0.809,0.118
1764058670732,45.568,72.664,19.046,0.899,0.956,0.807,0.117
1764058671122,44.902,71.28,18.732,0.9,0.956,0.806,0.116
1764058671230,45.568,72.664,19.046,0.898,0.955,0.806,0.116
1764058671755,44.24,69.909,18.419,0.898,0.956,0.806,0.117
1764058671874,44.902,71.28,18.732,0.897,0.956,0.805,0.116
1764058672219,44.902,71.28,18.732,0.898,0.956,0.806,0.116
1764058672513,44.902,71.28,18.732,0.897,0.955,0.805,0.116
1764058673172,44.24,69.909,18.419,0.898,0.955,0.804,0.116
1764058673478,45.568,72.664,19.046,0.897,0.956,0.804,0.116
1764058673639,44.902,71.28,18.732,0.897,0.956,0.804,0.116
1764058673925,44.24,69.909,18.419,0.898,0.955,0.804,0.117
1764058674115,44.24,69.909,18.419,0.898,0.956,0.802,0.116
1764058674479,43.581,68.549,18.108,0.897,0.955,0.804,0.117
1764058674864,43.581,68.549,18.108,0.897,0.955,0.802,0.116
1764058675148,44.24,69.909,18.419,0.897,0.954,0.801,0.116
1764058675535,44.24,69.909,18.419,0.897,0.955,0.801,0.115
1764058675787,44.24,69.909,18.419,0.896,0.955,0.801,0.115
1764058676450,44.24,69.909,18.419,0.897,0.956,0.8,0.114
1764058676835,44.902,71.28,18.732,0.896,0.956,0.8,0.115
1764058677018,44.24,69.909,18.419,0.896,0.955,0.798,0.114
1764058677594,43.581,68.549,18.108,0.896,0.955,0.797,0.115
1764058677690,44.24,69.909,18.419,0.896,0.954,0.797,0.115
1764058678415,42.925,67.202,17.799,0.896,0.955,0.797,0.115
1764058678906,43.581,68.549,18.108,0.896,0.956,0.797,0.114
1764058679068,44.24,69.909,18.419,0.896,0.955,0.796,0.114
1764058679339,43.581,68.549,18.108,0.896,0.955,0.796,0.114
1764058679546,43.581,68.549,18.108,0.896,0.954,0.796,0.114
1764058680219,42.925,67.202,17.799,0.896,0.954,0.796,0.114
1764058680589,44.24,69.909,18.419,0.896,0.955,0.793,0.112
1764058681145,43.581,68.549,18.108,0.896,0.954,0.794,0.114
