timestamp,co_m,eth_m,voc_m,no2,c2h50h_gm,voc_gm,co_gm
1765189280866,22.914,29.574,8.739,0.701,0.71,0.171,0.04
1765189281142,23.472,30.519,8.98,0.701,0.711,0.171,0.04
1765189281142,22.36,28.641,8.499,0.701,0.71,0.171,0.04
1765189281596,20.715,25.917,7.794,0.701,0.71,0.171,0.04
1765189281795,22.914,29.574,8.739,0.701,0.71,0.171,0.04
1765189281920,22.36,28.641,8.499,0.701,0.71,0.171,0.04
1765189282230,22.914,29.574,8.739,0.702,0.71,0.171,0.04
1765189282711,22.914,29.574,8.739,0.702,0.711,0.171,0.04
1765189282938,22.914,29.574,8.739,0.703,0.71,0.171,0.04
1765189283071,22.914,29.574,8.739,0.704,0.711,0.171,0.04
1765189283386,22.914,29.574,8.739,0.705,0.71,0.172,0.04
1765189283959,23.472,30.519,8.98,0.706,0.71,0.172,0.041
1765189284156,24.597,32.446,9.47,0.708,0.711,0.172,0.041
1765189284351,23.472,30.519,8.98,0.709,0.71,0.173,0.041
1765189284797,24.033,31.476,9.224,0.71,0.71,0.173,0.041
1765189284978,24.597,32.446,9.47,0.711,0.71,0.174,0.041
1765189285114,24.597,32.446,9.47,0.713,0.71,0.174,0.041
1765189285731,24.597,32.446,9.47,0.713,0.71,0.174,0.041
1765189286018,25.165,33.428,9.718,0.714,0.71,0.175,0.041
1765189286201,25.165,33.428,9.718,0.716,0.71,0.175,0.041
1765189286509,25.165,33.428,9.718,0.717,0.71,0.176,0.041
1765189287115,24.597,32.446,9.47,0.717,0.71,0.176,0.042
1765189287345,26.885,36.448,10.474,0.719,0.71,0.177,0.042
1765189287525,26.885,36.448,10.474,0.72,0.71,0.178,0.042
1765189288552,26.309,35.429,10.22,0.721,0.709,0.178,0.041
1765189289057,27.465,37.479,10.73,0.723,0.709,0.179,0.042
1765189289332,27.465,37.479,10.73,0.725,0.71,0.18,0.042
1765189289593,26.885,36.448,10.474,0.726,0.709,0.181,0.042
1765189289777,25.735,34.423,9.968,0.726,0.71,0.181,0.042
1765189290157,26.309,35.429,10.22,0.727,0.71,0.181,0.042
1765189290919,26.885,36.448,10.474,0.729,0.709,0.182,0.042
1765189292355,28.048,38.522,10.989,0.729,0.709,0.182,0.042
1765189292538,30.409,42.817,12.043,0.732,0.71,0.185,0.043
1765189293432,27.465,37.479,10.73,0.733,0.709,0.185,0.042
1765189293791,28.633,39.577,11.249,0.734,0.709,0.186,0.042
1765189294088,28.048,38.522,10.989,0.732,0.709,0.187,0.042
1765189294461,27.465,37.479,10.73,0.732,0.709,0.187,0.042
1765189294749,28.048,38.522,10.989,0.735,0.709,0.188,0.043
1765189294958,27.465,37.479,10.73,0.735,0.709,0.188,0.043
1765189295306,27.465,37.479,10.73,0.735,0.709,0.188,0.043
1765189295679,27.465,37.479,10.73,0.736,0.71,0.188,0.042
1765189295987,28.048,38.522,10.989,0.737,0.71,0.189,0.043
1765189295987,27.465,37.479,10.73,0.737,0.71,0.19,0.043
1765189296589,28.048,38.522,10.989,0.737,0.709,0.19,0.043
1765189296814,27.465,37.479,10.73,0.738,0.71,0.189,0.043
1765189296922,28.048,38.522,10.989,0.737,0.71,0.19,0.043
1765189297553,28.048,38.522,10.989,0.738,0.71,0.19,0.043
1765189297947,28.048,38.522,10.989,0.738,0.71,0.191,0.043
1765189297947,28.633,39.577,11.249,0.738,0.709,0.191,0.043
1765189298480,27.465,37.479,10.73,0.738,0.71,0.191,0.043
1765189298830,28.048,38.522,10.989,0.739,0.71,0.192,0.043
1765189299144,27.465,37.479,10.73,0.739,0.71,0.192,0.043
1765189299541,28.048,38.522,10.989,0.74,0.71,0.192,0.043
1765189299990,28.048,38.522,10.989,0.739,0.71,0.192,0.044
1765189300377,27.465,37.479,10.73,0.74,0.71,0.193,0.043
1765189300746,28.048,38.522,10.989,0.739,0.71,0.193,0.043
1765189300946,28.048,38.522,10.989,0.74,0.71,0.193,0.043
1765189301243,28.048,38.522,10.989,0.74,0.71,0.194,0.043
1765189301597,27.465,37.479,10.73,0.74,0.71,0.194,0.043
1765189301734,28.048,38.522,10.989,0.74,0.71,0.194,0.043
1765189302075,27.465,37.479,10.73,0.741,0.71,0.194,0.043
1765189302265,28.048,38.522,10.989,0.74,0.71,0.194,0.043
1765189302895,27.465,37.479,10.73,0.741,0.71,0.195,0.043
1765189302912,28.048,38.522,10.989,0.741,0.71,0.195,0.043
1765189303585,27.465,37.479,10.73,0.74,0.71,0.195,0.043
1765189303842,28.048,38.522,10.989,0.74,0.71,0.196,0.043
1765189304023,28.633,39.577,11.249,0.741,0.71,0.195,0.043
1765189304514,27.465,37.479,10.73,0.741,0.709,0.195,0.043
1765189304807,28.048,38.522,10.989,0.741,0.709,0.195,0.043
1765189305657,27.465,37.479,10.73,0.74,0.709,0.196,0.044
1765189305916,27.465,37.479,10.73,0.741,0.709,0.196,0.043
1765189306290,29.222,40.645,11.512,0.741,0.71,0.196,0.043
1765189306567,28.048,38.522,10.989,0.741,0.709,0.196,0.044
1765189307037,28.048,38.522,10.989,0.74,0.709,0.197,0.043
1765189307329,28.048,38.522,10.989,0.741,0.71,0.197,0.043
1765189308086,28.048,38.522,10.989,0.741,0.709,0.197,0.043
1765189308431,28.048,38.522,10.989,0.741,0.709,0.197,0.044
1765189308718,29.222,40.645,11.512,0.742,0.709,0.198,0.043
1765189308981,28.048,38.522,10.989,0.742,0.709,0.198,0.043
1765189309372,27.465,37.479,10.73,0.742,0.709,0.198,0.043
1765189309663,28.048,38.522,10.989,0.742,0.71,0.198,0.043
1765189309955,27.465,37.479,10.73,0.742,0.709,0.199,0.043
1765189310103,28.633,39.577,11.249,0.742,0.709,0.199,0.043
1765189310675,27.465,37.479,10.73,0.743,0.709,0.199,0.043
1765189311348,27.465,37.479,10.73,0.743,0.71,0.199,0.043
1765189311661,29.222,40.645,11.512,0.742,0.71,0.199,0.043
1765189312392,28.633,39.577,11.249,0.741,0.709,0.199,0.043
1765189312863,29.222,40.645,11.512,0.743,0.709,0.2,0.044
1765189313218,28.633,39.577,11.249,0.743,0.709,0.2,0.043
1765189313499,28.048,38.522,10.989,0.743,0.709,0.2,0.044
1765189313968,28.048,38.522,10.989,0.744,0.71,0.2,0.044
1765189314286,27.465,37.479,10.73,0.744,0.71,0.2,0.044
1765189314349,28.633,39.577,11.249,0.744,0.709,0.201,0.044
1765189314978,27.465,37.479,10.73,0.744,0.71,0.201,0.043
1765189315278,28.048,38.522,10.989,0.745,0.71,0.201,0.044
1765189315591,28.633,39.577,11.249,0.745,0.709,0.201,0.043
1765189315916,27.465,37.479,10.73,0.744,0.71,0.201,0.043
1765189316198,28.633,39.577,11.249,0.745,0.709,0.201,0.043
1765189316511,27.465,37.479,10.73,0.744,0.709,0.201,0.044
1765189316706,28.048,38.522,10.989,0.745,0.71,0.202,0.044
1765189316944,27.465,37.479,10.73,0.745,0.709,0.202,0.043
1765189317079,28.048,38.522,10.989,0.745,0.709,0.201,0.044
1765189317254,27.465,37.479,10.73,0.745,0.709,0.202,0.043
1765189318177,27.465,37.479,10.73,0.745,0.709,0.202,0.044
1765189318460,28.633,39.577,11.249,0.745,0.709,0.202,0.044
1765189318865,28.633,39.577,11.249,0.745,0.71,0.202,0.044
1765189319197,28.048,38.522,10.989,0.745,0.709,0.203,0.044
