ts,co_m,eth_m,voc_m,no2,c2h50h_gm,voc_gm,co_gm
1764057476439,33.427,48.458,13.407,0.921,0.691,0.914,0.224
1764057476582,34.04,49.623,13.685,0.922,0.691,0.914,0.225
1764057477096,32.818,47.305,13.13,0.924,0.692,0.916,0.226
1764057477384,34.04,49.623,13.685,0.923,0.691,0.916,0.228
1764057477825,32.818,47.305,13.13,0.924,0.692,0.916,0.229
1764057478269,33.427,48.458,13.407,0.924,0.692,0.916,0.228
1764057478384,34.656,50.799,13.966,0.923,0.691,0.914,0.231
1764057478645,32.818,47.305,13.13,0.923,0.691,0.916,0.233
1764057478845,32.818,47.305,13.13,0.923,0.69,0.916,0.234
1764057479079,32.818,47.305,13.13,0.925,0.692,0.917,0.239
1764057479341,32.818,47.305,13.13,0.926,0.692,0.918,0.245
1764057479558,32.818,47.305,13.13,0.928,0.692,0.918,0.251
1764057480020,32.818,47.305,13.13,0.929,0.691,0.919,0.256
1764057480074,34.04,49.623,13.685,0.933,0.692,0.924,0.266
1764057480417,33.427,48.458,13.407,0.933,0.69,0.924,0.272
1764057480669,33.427,48.458,13.407,0.936,0.692,0.927,0.279
1764057480874,33.427,48.458,13.407,0.938,0.692,0.929,0.286
1764057481073,33.427,48.458,13.407,0.941,0.692,0.932,0.296
1764057481451,34.04,49.623,13.685,0.942,0.692,0.934,0.304
1764057481578,34.04,49.623,13.685,0.942,0.692,0.934,0.311
1764057482402,34.04,49.623,13.685,0.944,0.693,0.935,0.318
1764057482717,34.656,50.799,13.966,0.945,0.692,0.94,0.329
1764057483000,35.274,51.988,14.249,0.946,0.692,0.941,0.343
1764057483602,34.656,50.799,13.966,0.948,0.692,0.942,0.35
1764057484448,35.896,53.189,14.534,0.949,0.691,0.946,0.365
1764057485681,39.047,59.376,15.988,0.954,0.693,0.951,0.391
1764057485820,40.328,61.936,16.584,0.96,0.693,0.96,0.42
1764057486003,36.52,54.402,14.821,0.96,0.693,0.961,0.422
1764057486263,37.147,55.628,15.11,0.961,0.693,0.961,0.428
1764057486487,37.147,55.628,15.11,0.961,0.693,0.962,0.433
1764057486822,37.147,55.628,15.11,0.961,0.693,0.964,0.436
1764057487199,37.778,56.865,15.4,0.961,0.693,0.964,0.441
1764057487234,37.778,56.865,15.4,0.962,0.693,0.965,0.445
1764057487487,37.778,56.865,15.4,0.964,0.693,0.966,0.448
1764057487764,38.411,58.115,15.693,0.964,0.693,0.966,0.452
1764057488160,38.411,58.115,15.693,0.964,0.693,0.966,0.455
1764057488448,38.411,58.115,15.693,0.964,0.693,0.966,0.459
1764057488560,39.047,59.376,15.988,0.965,0.693,0.967,0.462
1764057488922,39.047,59.376,15.988,0.965,0.693,0.969,0.467
1764057489072,39.047,59.376,15.988,0.966,0.694,0.969,0.469
1764057489469,39.686,60.65,16.285,0.965,0.693,0.972,0.471
1764057489844,39.686,60.65,16.285,0.966,0.693,0.972,0.474
1764057490024,40.328,61.936,16.584,0.966,0.694,0.972,0.478
1764057490249,40.328,61.936,16.584,0.968,0.695,0.973,0.481
1764057490755,40.328,61.936,16.584,0.969,0.694,0.973,0.484
1764057491049,40.973,63.235,16.885,0.968,0.694,0.974,0.486
1764057491377,41.62,64.545,17.188,0.969,0.695,0.973,0.491
1764057491602,41.62,64.545,17.188,0.968,0.695,0.973,0.493
1764057491690,42.925,67.202,17.799,0.969,0.695,0.974,0.495
1764057492330,41.62,64.545,17.188,0.969,0.695,0.974,0.497
1764057492553,43.581,68.549,18.108,0.97,0.696,0.975,0.504
1764057492967,42.271,65.868,17.492,0.972,0.696,0.975,0.505
1764057493211,42.271,65.868,17.492,0.971,0.696,0.977,0.512
1764057493231,42.925,67.202,17.799,0.973,0.697,0.977,0.512
1764057493540,42.925,67.202,17.799,0.973,0.697,0.975,0.512
1764057493865,43.581,68.549,18.108,0.973,0.697,0.978,0.514
1764057494279,43.581,68.549,18.108,0.973,0.697,0.978,0.517
1764057494435,44.24,69.909,18.419,0.974,0.697,0.98,0.52
1764057495089,43.581,68.549,18.108,0.974,0.697,0.978,0.521
1764057495210,44.24,69.909,18.419,0.973,0.698,0.978,0.522
1764057495277,45.568,72.664,19.046,0.974,0.698,0.98,0.526
1764057495538,44.24,69.909,18.419,0.973,0.698,0.98,0.528
1764057495804,44.902,71.28,18.732,0.974,0.698,0.98,0.53
1764057496025,44.902,71.28,18.732,0.974,0.699,0.98,0.529
1764057496274,44.902,71.28,18.732,0.974,0.699,0.98,0.532
1764057496611,45.568,72.664,19.046,0.975,0.699,0.98,0.535
1764057496761,45.568,72.664,19.046,0.974,0.699,0.98,0.536
1764057497051,45.568,72.664,19.046,0.975,0.7,0.982,0.537
1764057497530,46.236,74.06,19.363,0.975,0.7,0.981,0.541
1764057497744,46.236,74.06,19.363,0.974,0.7,0.981,0.54
1764057497933,46.236,74.06,19.363,0.976,0.701,0.981,0.544
1764057498365,46.236,74.06,19.363,0.975,0.701,0.98,0.545
1764057498484,46.906,75.468,19.682,0.976,0.701,0.982,0.546
1764057501309,46.906,75.468,19.682,0.975,0.701,0.981,0.546
1764057501404,55.182,93.334,23.661,0.977,0.706,0.983,0.563
1764057501821,48.936,79.767,20.65,0.977,0.706,0.983,0.564
1764057501947,48.936,79.767,20.65,0.977,0.705,0.982,0.564
1764057502287,48.936,79.767,20.65,0.977,0.706,0.982,0.565
1764057502550,49.619,81.225,20.976,0.976,0.706,0.982,0.567
1764057502815,49.619,81.225,20.976,0.976,0.706,0.983,0.567
1764057503213,49.619,81.225,20.976,0.976,0.706,0.983,0.567
1764057503312,50.304,82.695,21.305,0.977,0.708,0.983,0.57
1764057503675,50.304,82.695,21.305,0.975,0.706,0.982,0.57
1764057503675,49.619,81.225,20.976,0.976,0.707,0.982,0.57
1764057503960,50.304,82.695,21.305,0.976,0.708,0.983,0.573
1764057504202,50.304,82.695,21.305,0.975,0.708,0.983,0.577
1764057504505,50.304,82.695,21.305,0.977,0.708,0.983,0.576
