ts,co_m,eth_m,voc_m,no2,c2h50h_gm,voc_gm,co_gm
1764063313400,9.141,8.891,3.084,0.669,0.533,0.119,0.072
1764063314070,9.602,9.482,3.261,0.669,0.532,0.119,0.072
1764063314526,9.602,9.482,3.261,0.669,0.532,0.119,0.072
1764063314526,9.602,9.482,3.261,0.669,0.532,0.119,0.072
1764063315939,9.141,8.891,3.084,0.669,0.532,0.119,0.072
1764063316072,10.536,10.707,3.623,0.669,0.532,0.119,0.072
1764063316397,10.536,10.707,3.623,0.669,0.531,0.119,0.073
1764063316959,9.602,9.482,3.261,0.67,0.532,0.12,0.075
1764063317333,9.602,9.482,3.261,0.673,0.531,0.121,0.079
1764063318162,10.067,10.088,3.44,0.677,0.532,0.124,0.086
1764063318327,9.602,9.482,3.261,0.679,0.531,0.124,0.091
1764063318460,9.602,9.482,3.261,0.684,0.531,0.128,0.102
1764063319235,9.141,8.891,3.084,0.686,0.532,0.13,0.107
1764063319511,10.067,10.088,3.44,0.69,0.531,0.133,0.116
1764063319786,9.602,9.482,3.261,0.693,0.531,0.136,0.122
1764063320077,9.602,9.482,3.261,0.697,0.531,0.139,0.128
1764063320639,9.141,8.891,3.084,0.7,0.531,0.141,0.133
1764063321005,10.536,10.707,3.623,0.704,0.532,0.147,0.141
1764063321191,8.684,8.315,2.91,0.706,0.531,0.149,0.144
1764063321380,9.141,8.891,3.084,0.709,0.532,0.151,0.147
1764063322161,9.141,8.891,3.084,0.71,0.531,0.154,0.15
1764063322533,10.536,10.707,3.623,0.714,0.531,0.158,0.156
1764063322901,10.536,10.707,3.623,0.718,0.531,0.163,0.16
1764063323280,10.067,10.088,3.44,0.722,0.532,0.167,0.164
1764063323741,9.602,9.482,3.261,0.724,0.532,0.17,0.166
1764063324031,10.067,10.088,3.44,0.726,0.532,0.174,0.169
1764063324402,9.602,9.482,3.261,0.727,0.531,0.176,0.172
1764063325519,10.536,10.707,3.623,0.731,0.532,0.182,0.177
1764063325811,11.488,11.989,3.996,0.737,0.532,0.189,0.181
1764063326363,10.067,10.088,3.44,0.738,0.533,0.192,0.183
1764063326625,10.536,10.707,3.623,0.74,0.533,0.197,0.186
1764063327158,10.536,10.707,3.623,0.742,0.533,0.199,0.186
1764063327621,10.067,10.088,3.44,0.743,0.533,0.202,0.187
1764063328055,11.01,11.341,3.808,0.745,0.532,0.206,0.189
1764063328797,10.067,10.088,3.44,0.745,0.532,0.207,0.189
1764063329090,11.488,11.989,3.996,0.747,0.533,0.211,0.19
1764063329206,10.536,10.707,3.623,0.748,0.532,0.214,0.192
1764063329487,10.536,10.707,3.623,0.749,0.533,0.215,0.192
1764063329756,10.536,10.707,3.623,0.75,0.533,0.217,0.192
1764063330164,10.067,10.088,3.44,0.751,0.533,0.219,0.192
1764063330517,10.067,10.088,3.44,0.75,0.532,0.22,0.192
1764063330779,10.536,10.707,3.623,0.752,0.533,0.222,0.192
1764063331465,11.01,11.341,3.808,0.752,0.533,0.223,0.193
1764063331936,11.01,11.341,3.808,0.753,0.533,0.226,0.193
1764063332413,11.488,11.989,3.996,0.754,0.533,0.229,0.193
1764063332655,11.01,11.341,3.808,0.754,0.533,0.232,0.194
1764063332988,10.536,10.707,3.623,0.755,0.532,0.233,0.194
1764063333448,10.536,10.707,3.623,0.755,0.533,0.233,0.193
1764063333723,11.01,11.341,3.808,0.756,0.533,0.235,0.194
1764063334287,11.01,11.341,3.808,0.757,0.533,0.237,0.195
1764063334650,10.067,10.088,3.44,0.758,0.533,0.239,0.195
1764063335028,11.488,11.989,3.996,0.758,0.533,0.24,0.194
1764063335700,11.488,11.989,3.996,0.759,0.533,0.243,0.194
1764063336345,11.488,11.989,3.996,0.759,0.533,0.244,0.195
1764063336911,12.455,13.325,4.379,0.761,0.534,0.247,0.195
1764063337259,11.488,11.989,3.996,0.761,0.533,0.249,0.196
1764063337758,11.969,12.65,4.186,0.762,0.534,0.25,0.195
1764063337975,11.969,12.65,4.186,0.761,0.534,0.252,0.196
1764063338223,11.969,12.65,4.186,0.762,0.534,0.253,0.194
1764063338597,11.01,11.341,3.808,0.763,0.534,0.254,0.196
1764063338977,10.067,10.088,3.44,0.764,0.534,0.256,0.197
1764063339354,11.488,11.989,3.996,0.763,0.533,0.256,0.197
1764063339769,11.969,12.65,4.186,0.768,0.535,0.257,0.197
1764063340062,11.969,12.65,4.186,0.768,0.535,0.258,0.198
1764063340252,11.969,12.65,4.186,0.768,0.534,0.26,0.197
1764063340574,11.488,11.989,3.996,0.768,0.535,0.26,0.197
1764063341602,11.01,11.341,3.808,0.768,0.535,0.261,0.198
1764063342153,11.969,12.65,4.186,0.768,0.536,0.262,0.198
1764063342835,13.437,14.716,4.773,0.768,0.535,0.265,0.199
1764063343068,12.944,14.014,4.575,0.768,0.535,0.267,0.198
1764063343569,11.969,12.65,4.186,0.768,0.535,0.268,0.197
1764063343956,11.969,12.65,4.186,0.768,0.536,0.269,0.2
1764063344243,12.455,13.325,4.379,0.768,0.535,0.269,0.198
1764063344500,12.455,13.325,4.379,0.768,0.536,0.27,0.199
1764063344873,11.488,11.989,3.996,0.768,0.536,0.271,0.199
1764063345147,11.969,12.65,4.186,0.768,0.536,0.271,0.199
1764063345364,11.969,12.65,4.186,0.768,0.536,0.273,0.199
1764063345918,11.969,12.65,4.186,0.768,0.536,0.273,0.198
1764063346481,12.455,13.325,4.379,0.768,0.536,0.274,0.199
1764063346668,12.455,13.325,4.379,0.769,0.536,0.275,0.199
1764063347233,12.455,13.325,4.379,0.769,0.537,0.276,0.2
1764063347887,12.455,13.325,4.379,0.769,0.536,0.277,0.199
1764063348135,12.944,14.014,4.575,0.769,0.536,0.277,0.197
1764063348136,12.944,14.014,4.575,0.77,0.537,0.279,0.198
1764063348808,11.969,12.65,4.186,0.77,0.537,0.279,0.199
1764063349491,12.944,14.014,4.575,0.77,0.537,0.281,0.2
1764063349853,12.944,14.014,4.575,0.771,0.537,0.282,0.2
1764063350134,12.944,14.014,4.575,0.773,0.537,0.282,0.2
1764063350468,12.944,14.014,4.575,0.773,0.537,0.284,0.201
1764063351076,12.944,14.014,4.575,0.772,0.537,0.284,0.2
1764063351290,12.455,13.325,4.379,0.773,0.537,0.285,0.201
1764063351816,12.944,14.014,4.575,0.773,0.537,0.286,0.2
